"taxonUUID","taxonRank","taxon_id","simplifiedScientificName","kingdom","class","nativeness","endemism","protectedStatusTW","categoryRedlistTW","categoryIUCN","sensitiveCategory","categoryRedlistVersionTW","rank","new_simple_name","is_endemic","alien_type","new_iucn","new_redlistTW","new_protected","genus","specificEpithet","infraspecies","comparison_name","comparison_IUCN","comparison_redlistTW","comparison_protected"
"a41809f8-db03-42d1-9935-fd3e1b3b85e6","species","t0076318","Bathytormus foveolatus","Animalia","Bivalvia","native","","","","","","","species","Crenocrassatella foveolata","","native","","","","Crenocrassatella","foveolata",NA,FALSE,TRUE,TRUE,TRUE
"14cccbb5-9032-4529-814f-0d547f8f6f9c","species","t0078228","Chlamys squamata","Animalia","Bivalvia","native","","","","","","","species","Scaeochlamys squamea","","native","","","","Scaeochlamys","squamea",NA,FALSE,TRUE,TRUE,TRUE
"ab7d41fa-7bbc-46dd-bee2-79380077f46d","species","t0061207","Delectopecten fluctuatus","Animalia","Bivalvia","native","","","","","","","species","Ciclopecten fluctuatus","","native","","","","Ciclopecten","fluctuatus",NA,FALSE,TRUE,TRUE,TRUE
"79e47ac2-346f-4b15-b257-33175d4f6861","species","t0033010","Spondylus barbatus","Animalia","Bivalvia","native","","","","","","","species","Spondylus squamosus","","native","","","","Spondylus","squamosus",NA,FALSE,TRUE,TRUE,TRUE
"f9f065dc-5bf0-418d-83d4-d26990d7ffb0","species","t0036246","Pliarcularia bellula","Animalia","Gastropoda","native","","","","","","","species","Nassarius bellulus","","native","","","","Nassarius","bellulus",NA,FALSE,TRUE,TRUE,TRUE
"43fa9466-6cb2-4097-b0ce-c52936b8a2cc","species","t0062129","Drupinia grossularia","Animalia","Gastropoda","native","","","","","","","species","Drupina grossularia","","native","","","","Drupina","grossularia",NA,FALSE,TRUE,TRUE,TRUE
"fdd16329-c54f-4ffe-a894-ba7c367dafb9","species","t0080938","Nass francolina","Animalia","Gastropoda","native","","","","","","","species","Nassa francolina","","native","","","","Nassa","francolina",NA,FALSE,TRUE,TRUE,TRUE
"2a8a7a77-1778-4e64-acf5-3a3ca726ec86","species","t0096913","Epitonium pallasii","Animalia","Gastropoda","native","","","","","","","species","Epitonium pallasi","","","","","","Epitonium","pallasi",NA,FALSE,TRUE,TRUE,TRUE
"101a910d-5460-4c56-b4ac-d9f0f8fbe9e2","species","t0037075","Assiminea latericea","Animalia","Gastropoda","native","","","","","","","species","Pseudomphala latericea","","native","LC","","","Pseudomphala","latericea",NA,FALSE,FALSE,TRUE,TRUE
"60bd333c-8c57-45cd-a62f-9acf3c66b355","species","t0046662","Assiminea hayashii","Animalia","Gastropoda","native","","","","","","","species","Taiwanassiminea hayasii","","native","","","","Taiwanassiminea","hayasii",NA,FALSE,TRUE,TRUE,TRUE
"41752fb1-9278-471d-9e6e-da0f5f2b2b57","species","t0076320","Batillaria cumingi","Animalia","Gastropoda","native","","","","","","","species","Batillaria cumingii","","native","","","","Batillaria","cumingii",NA,FALSE,TRUE,TRUE,TRUE
"a8e5f24a-9aba-49f2-bf4f-1a1af8644287","species","t0102722","Cerithidea djadjariensis","Animalia","Gastropoda","native","","","","","","","species","Pirenella pupiformis","","native","","","","Pirenella","pupiformis",NA,FALSE,TRUE,TRUE,TRUE
